dataset,case_name,algorithm,pair_npz,result_file,status,elapsed_time_s,chosen_direction,point_rmse_forward_mm,point_rmse_inverse_mm,rmse_mm,mi,dice,asd_mm,assd_mm,hd95_mm,tre95_mm,tre_mean_mm,message
AbdomenMRCT_CT_MRI,AbdomenMRCT_0001__CT_to_MRI_mixed,modified,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0001__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified/data/AbdomenMRCT_0001_CT_to_MRI_mixed_result.mat,success,1.556769,forward,30.053662200578678,64.2317466052621,nan,0.14715665889085452,0.43308277392206335,19.27138616901437,16.90196826252268,49.35585071701227,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0001__CT_to_MRI_mixed,modified_full,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0001__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified_full/data/AbdomenMRCT_0001_CT_to_MRI_mixed_result.mat,success,2.652039,forward,28.961168462769066,62.305613010413424,nan,0.14543202537499036,0.48797987176365554,17.789135718136244,15.307985727152449,47.58150901348127,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0001__CT_to_MRI_mixed,random_baseline,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0001__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/random_baseline/data/AbdomenMRCT_0001_CT_to_MRI_mixed_result.mat,success,1.269897,forward,25.810785846076758,60.72623262642332,nan,0.13564187363655605,0.5428406299667679,16.92832307821284,13.604731053813204,42.567593307585526,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0001__CT_to_MRI_mixed,icp,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0001__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/icp/AbdomenMRCT_CT_MRI/AbdomenMRCT_0001__CT_to_MRI_mixed_icp.npz,success,2.257075786590576,forward,31.806415932820276,50.08484915646956,nan,0.17369333135404458,0.59904258216726,18.661531093366907,12.700959898122445,70.14271166700073,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0001__CT_to_MRI_mixed,fgr,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0001__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/fgr/AbdomenMRCT_CT_MRI/AbdomenMRCT_0001__CT_to_MRI_mixed_fgr.npz,success,0.3278665542602539,forward,37.77796637864428,46.99912702932599,nan,0.14164164031313067,0.594916094591761,21.421083006760725,14.128620177088111,85.27602242131137,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0001__CT_to_MRI_mixed,ants,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0001__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/ants/AbdomenMRCT_CT_MRI/AbdomenMRCT_0001__CT_to_MRI_mixed_ants.npz,success,3.0729806423187256,forward,40.10271621602323,44.42683656079217,nan,0.16045179488188854,0.46264638103748296,25.858845791145146,18.54500665133404,88.11356308764276,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0002__CT_to_MRI_mixed,modified,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified/data/AbdomenMRCT_0002_CT_to_MRI_mixed_result.mat,success,0.831617,forward,15.845140589673539,97.71759241054168,nan,0.05553883681454766,0.6597416312596704,12.698833520870597,10.457964622545177,27.28368592080937,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0002__CT_to_MRI_mixed,modified_full,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified_full/data/AbdomenMRCT_0002_CT_to_MRI_mixed_result.mat,success,2.732396,forward,15.957235599493243,96.79029044138079,nan,0.06056079316468073,0.6775067351354271,12.297732453789648,10.030448789084131,26.153393661244042,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0002__CT_to_MRI_mixed,random_baseline,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/random_baseline/data/AbdomenMRCT_0002_CT_to_MRI_mixed_result.mat,success,0.84382,forward,16.661688047943443,96.44209450240551,nan,0.07176272427775425,0.7043739239567446,11.855518006929948,9.429096563190384,26.30589287593181,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0002__CT_to_MRI_mixed,icp,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/icp/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed_icp.npz,success,2.9491970539093018,forward,19.850196864865396,95.56119759168035,nan,0.06367274597859501,0.7341734224996869,12.345328791069507,9.307603356375367,29.597297173897484,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0002__CT_to_MRI_mixed,fgr,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/fgr/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed_fgr.npz,success,0.48807311058044434,forward,20.101734893829832,96.45989682705266,nan,0.06087008568583824,0.7271081770413131,12.680362618539096,9.481002230715763,31.368774282716245,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0002__CT_to_MRI_mixed,ants,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/ants/AbdomenMRCT_CT_MRI/AbdomenMRCT_0002__CT_to_MRI_mixed_ants.npz,success,3.3060007095336914,forward,52.62344209859044,54.655288804589375,nan,0.1767539158219866,0.32202956923228054,43.150595833358786,35.08989811888746,92.71029605522357,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0003__CT_to_MRI_mixed,modified,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified/data/AbdomenMRCT_0003_CT_to_MRI_mixed_result.mat,success,0.706848,forward,7.489132034258755,26.30769809024553,nan,0.052570633740220515,0.6793735067693124,7.326958458098161,7.268488299495043,18.867962264113206,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0003__CT_to_MRI_mixed,modified_full,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0003__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified_full/data/AbdomenMRCT_0003_CT_to_MRI_mixed_result.mat,success,2.024186,forward,7.390828159032954,25.789202868253238,nan,0.05288883405011929,0.6830034829676411,7.268393522489156,7.207313621271964,18.867962264113206,nan,nan,
